"ANO","COORDENADA_X","COORDENADA_Y","ID_COMPRAVENTA","OBJECTID","point"
"2,012","836,151.16","1,182,009.99","3,029","68","POINT (-75.55790791047683 6.239995164247397)"
"2,012","834,331.49","1,181,989.09","2,194","67","POINT (-75.57434716278927 6.239806179751866)"
"2,012","836,212.23","1,181,894.46","3,030","66","POINT (-75.55735620702785 6.238950711032238)"
"2,012","836,915.81","1,181,560.33","3,031","65","POINT (-75.55100001938104 6.23592988941814)"
"2,012","838,043.02","1,181,431.08","3,036","64","POINT (-75.54081671489287 6.234761042266476)"
"2,012","838,043.02","1,181,431.08","3,037","63","POINT (-75.54081671489287 6.234761042266476)"
"2,012","836,192.51","1,181,383.3","3,066","62","POINT (-75.5575344253998 6.234329586321106)"
"2,012","830,166.57","1,181,300.4","4,029","61","POINT (-75.61197329787561 6.233578081635207)"
"2,012","833,485.19","1,181,276.54","3,660","60","POINT (-75.58199259146333 6.233364199588922)"
"2,012","833,581.2","1,181,276.02","3,661","59","POINT (-75.58112522904506 6.233359525948527)"
"2,012","831,815.95","1,181,270.25","4,023","58","POINT (-75.59707264006543 6.233306630690089)"
"2,012","833,475.42","1,181,243.38","3,663","57","POINT (-75.58208084468993 6.233064414697591)"
"2,012","824,899.2532","1,175,744.482","4,995","56","POINT (-75.65954972305589 6.183343573500761)"
"2,012","834,905.19","1,183,823.97","2,016","55","POINT (-75.56916438100329 6.256394426888191)"
"2,012","838,482.13","1,181,153.15","5,123","54","POINT (-75.53684988178746 6.232248228257705)"
"2,012","830,038.79","1,181,084.4","4,017","53","POINT (-75.61312749504579 6.231625235598553)"
"2,012","831,860.78","1,180,930.92","1,363","52","POINT (-75.59666745760974 6.230238952168879)"
"2,012","833,270.06","1,180,796.88","2,683","51","POINT (-75.58393593728805 6.229027780624198)"
"2,012","833,360.98","1,180,791.94","2,709","50","POINT (-75.58311456369735 6.228983149709596)"
"2,012","834,508.04","1,180,770.97","2,687","49","POINT (-75.57275201198514 6.228793827241506)"
"2,012","833,530.01","1,180,761.15","4,990","48","POINT (-75.5815875365773 6.228704844143326)"
"2,012","831,923.67","1,180,718.07","2,270","47","POINT (-75.5960991938538 6.228314721801635)"
"2,012","830,828.34","1,180,701.74","4,021","46","POINT (-75.60599438947747 6.228166412804785)"
"2,012","834,424.76","1,180,650.27","2,708","45","POINT (-75.57350434608614 6.227702630625497)"
"2,012","834,459.37","1,180,592.12","2,728","44","POINT (-75.57319167157696 6.227176932242865)"
"2,012","832,209.6698","1,180,522.6386","3,665","43","POINT (-75.59351537703598 6.226548076378493)"
"2,012","833,563.3","1,180,503.15","4,022","42","POINT (-75.58128672224996 6.226372412024419)"
"2,012","833,366.77","1,180,490.08","4,991","41","POINT (-75.58306216295311 6.22625419489838)"
"2,012","831,665.23","1,180,460.05","2,269","40","POINT (-75.5984337918087 6.225981956170347)"
"2,012","833,106.92","1,180,414.2","2,696","39","POINT (-75.58540961110732 6.225568117868215)"
"2,012","832,915.36","1,180,404.34","2,705","38","POINT (-75.58714015069087 6.225478908677309)"
"2,012","832,884.88","1,180,386.48","3,662","37","POINT (-75.58741549854068 6.225317434178345)"
"2,012","830,803.25","1,180,369.05","2,271","36","POINT (-75.60622081721063 6.225158720757488)"
"2,012","833,243.9","1,180,346.79","2,695","35","POINT (-75.58417211849951 6.22495874638841)"
"2,012","832,916.9","1,180,331.72","2,706","34","POINT (-75.5871262107989 6.224822390250358)"
"2,012","832,921.25","1,180,325.01","3,659","33","POINT (-75.587086910628 6.2247617303439)"
"2,012","832,993.65","1,180,212.5","2,707","32","POINT (-75.58643281225346 6.223744614049714)"
"2,012","830,005.3","1,180,110.54","5,042","31","POINT (-75.61342923695149 6.222821054636687)"
"2,012","829,699.4","1,180,039.91","5,043","30","POINT (-75.61619264574955 6.222182264693194)"
"2,012","833,796.19","1,179,559.05","4,235","29","POINT (-75.57918257194487 6.217837364426365)"
"2,012","833,275.5","1,179,226.36","2,729","28","POINT (-75.58388628237905 6.214829541676577)"
"2,012","831,292.31","1,179,191.27","3,579","27","POINT (-75.60180193466599 6.214511362267783)"
"2,012","831,373.69","1,179,051.59","2,268","26","POINT (-75.60106668098634 6.213248640182902)"
"2,012","831,295.49","1,178,747.38","3,578","25","POINT (-75.60177292794077 6.210498389547187)"
"2,012","832,805.31","1,178,462.45","2,689","24","POINT (-75.58813356588009 6.207923265329901)"
"2,012","833,167.5","1,178,292.87","2,688","23","POINT (-75.58486161105955 6.206390316248442)"
"2,012","833,175.15","1,178,290.79","2,694","22","POINT (-75.58479250314413 6.20637151468025)"
"2,012","832,709.19","1,177,581.09","2,697","21","POINT (-75.58900151802048 6.199955316723995)"
"2,012","832,527.36","1,177,334.75","4,234","20","POINT (-75.5906439736018 6.197728209434861)"
"2,012","833,373.18","1,177,321.09","4,236","19","POINT (-75.58300327577615 6.197605034285322)"
"2,012","832,655.8","1,177,200.84","4,233","18","POINT (-75.58948365804727 6.196517655313182)"
"2,012","832,362.56","1,176,886.33","3,055","17","POINT (-75.5921324823495 6.193674206593367)"
"2,012","825,215.53","1,176,122.52","4,996","16","POINT (-75.65669331146727 6.186761720023151)"
"2,012","834,900.19","1,183,842.04","2,239","15","POINT (-75.56920955473244 6.256557787833488)"
"2,012","834,922.59","1,183,808.81","2,249","14","POINT (-75.56900718002348 6.256257374596593)"
"2,012","834,940.47","1,183,810.17","2,266","13","POINT (-75.56884564370246 6.256269670873831)"
"2,012","835,329.5861","1,186,802.0184","5,130","12","POINT (-75.56533020676811 6.283317404633874)"
"2,012","830,480.61","1,184,086.32","3,114","11","POINT (-75.60913834832286 6.25876435650791)"
"2,012","830,452.6","1,184,078.95","3,584","10","POINT (-75.60939139953439 6.258697706955286)"
"2,012","835,322.87","1,186,785.24","1,694","9","POINT (-75.56539088618763 6.283165719938528)"
"2,012","826,080.37","1,176,104.24","5,031","8","POINT (-75.648880936435 6.186597761829809)"
"2,012","825,250.32","1,176,073.17","4,994","7","POINT (-75.65637896665908 6.186315627366585)"
"2,012","826,090.09","1,175,948.38","4,993","6","POINT (-75.64879291073112 6.185188727971489)"
"2,012","825,334.04","1,175,945.24","4,992","5","POINT (-75.65562250321439 6.185159210504053)"
"2,012","826,605.09","1,175,870.33","5,045","4","POINT (-75.64414067598862 6.184483838566049)"
"2,012","825,519.3504","1,175,863.6262","5,044","3","POINT (-75.65394842255242 6.184421668542724)"
"2,012","825,128.63","1,175,848.33","5,046","2","POINT (-75.65747787293394 6.184282776060714)"
